#唯一Id,段位,分数,增加百分概率,最小值,最大值
%id,grade,score,probability,min,max
$[id:unique][id:type:int],[grade:type:int],[score:type:int],[probability:type:int],[min:type:int],[max:type:int]
1,0,0,80,1,15
2,0,300,70,1,20
3,0,600,60,1,20
4,0,900,50,1,24
5,0,1200,40,1,30
6,0,1800,30,1,40
7,0,2200,20,1,50
8,0,2600,10,1,60
9,0,3200,10,1,70
10,0,3800,10,1,80
11,0,4500,5,1,90
12,1,0,80,1,15
13,1,300,70,1,20
14,1,600,60,1,20
15,1,900,50,1,24
16,1,1200,40,1,30
17,1,1800,30,1,40
18,1,2200,20,1,50
19,1,2600,10,1,60
20,1,3200,10,1,70
21,1,3800,10,1,80
22,1,4500,5,1,90
23,2,0,80,1,15
24,2,300,70,1,20
25,2,600,60,1,20
26,2,900,50,1,24
27,2,1200,40,1,30
28,2,1800,30,1,40
29,2,2200,20,1,50
30,2,2600,10,1,60
31,2,3200,10,1,70
32,2,3800,10,1,80
33,2,4500,5,1,90
34,3,0,80,1,15
35,3,300,70,1,20
36,3,600,60,1,20
37,3,900,50,1,24
38,3,1200,40,1,30
39,3,1800,30,1,40
40,3,2200,20,1,50
41,3,2600,10,1,60
42,3,3200,10,1,70
43,3,3800,10,1,80
44,3,4500,5,1,90
45,4,0,80,1,15
46,4,300,70,1,20
47,4,600,60,1,20
48,4,900,50,1,24
49,4,1200,40,1,30
50,4,1800,30,1,40
51,4,2200,20,1,50
52,4,2600,10,1,60
53,4,3200,10,1,70
54,4,3800,10,1,80
55,4,4500,5,1,90
56,5,0,85,1,18
57,5,300,75,10,11
58,5,600,65,10,13
59,5,900,55,10,16
60,5,1200,45,10,22
61,5,1800,35,10,30
62,5,2200,25,10,40
63,5,2600,15,10,50
64,5,3200,15,10,60
65,5,3800,15,10,70
66,5,4500,10,10,80
67,6,0,85,1,18
68,6,300,75,10,11
69,6,600,65,10,13
70,6,900,55,10,16
71,6,1200,45,10,22
72,6,1800,35,10,30
73,6,2200,25,10,40
74,6,2600,15,10,50
75,6,3200,15,10,60
76,6,3800,15,10,70
77,6,4500,10,10,80
