#唯一Id,段位,排名区间,奖励
%id,grade,condition,reward
$[id:unique][id:type:int],[grade:type:int],[condition:type:List<int>],[reward:type:string]
1,0,1|1,0:400|10:2|11:2|12:2
2,0,2|2,0:200|10:1|11:1|12:1
3,0,3|3,0:100|10:1
4,0,4|10,0:10
5,1,1|1,0:400|10:2|11:2|12:2
6,1,2|2,0:200|10:1|11:1|12:1
7,1,3|3,0:100|10:1
8,1,4|10,0:10
9,2,1|1,0:400|10:2|11:2|12:2
10,2,2|2,0:200|10:1|11:1|12:1
11,2,3|3,0:100|10:1
12,2,4|10,0:10
13,3,1|1,0:400|10:2|11:2|12:2
14,3,2|2,0:200|10:1|11:1|12:1
15,3,3|3,0:100|10:1
16,3,4|10,0:10
17,4,1|1,0:400|10:2|11:2|12:2
18,4,2|2,0:200|10:1|11:1|12:1
19,4,3|3,0:100|10:1
20,4,4|10,0:10
21,5,1|1,0:600|10:3|11:3|12:3
22,5,2|2,0:400|10:2|11:2|12:2
23,5,3|3,0:300|10:1|11:2|12:1
24,5,4|10,0:10
25,6,1|1,0:600|10:3|11:3|12:3
26,6,2|2,0:400|10:2|11:2|12:2
27,6,3|3,0:300|10:1|11:2|12:1
28,6,4|10,0:10
29,7,1|1,0:600|10:3|11:3|12:3
30,7,2|2,0:400|10:2|11:2|12:2
31,7,3|3,0:300|10:1|11:2|12:1
32,7,4|10,0:10
33,8,1|1,0:600|10:3|11:3|12:3
34,8,2|2,0:400|10:2|11:2|12:2
35,8,3|3,0:300|10:1|11:2|12:1
36,8,4|10,0:10
37,9,1|1,0:600|10:3|11:3|12:3
38,9,2|2,0:400|10:2|11:2|12:2
39,9,3|3,0:300|10:1|11:2|12:1
40,9,4|10,0:10
41,10,1|1,0:800|10:4|11:4|12:4
42,10,2|2,0:600|10:3|11:3|12:3
43,10,3|3,0:400|10:2|11:2|12:2
44,10,4|10,0:50
45,11,1|1,0:800|10:4|11:4|12:4
46,11,2|2,0:600|10:3|11:3|12:3
47,11,3|3,0:400|10:2|11:2|12:2
48,11,4|10,0:50
49,12,1|1,0:800|10:4|11:4|12:4
50,12,2|2,0:600|10:3|11:3|12:3
51,12,3|3,0:400|10:2|11:2|12:2
52,12,4|10,0:50
53,13,1|1,0:800|10:4|11:4|12:4
54,13,2|2,0:600|10:3|11:3|12:3
55,13,3|3,0:400|10:2|11:2|12:2
56,13,4|10,0:50
57,14,1|1,0:800|10:4|11:4|12:4
58,14,2|2,0:600|10:3|11:3|12:3
59,14,3|3,0:400|10:2|11:2|12:2
60,14,4|10,0:50
61,15,1|1,0:1000|10:5|11:5|12:5
62,15,2|2,0:1000|10:4|11:4|12:4
63,15,3|3,0:800|10:3|11:3|12:3
64,15,4|10,0:50
65,16,1|1,0:1000|10:5|11:5|12:5
66,16,2|2,0:1000|10:4|11:4|12:4
67,16,3|3,0:800|10:3|11:3|12:3
68,16,4|10,0:50
69,17,1|1,0:1000|10:5|11:5|12:5
70,17,2|2,0:1000|10:4|11:4|12:4
71,17,3|3,0:800|10:3|11:3|12:3
72,17,4|10,0:50
73,18,1|1,0:1000|10:5|11:5|12:5
74,18,2|2,0:1000|10:4|11:4|12:4
75,18,3|3,0:800|10:3|11:3|12:3
76,18,4|10,0:50
77,19,1|1,0:1000|10:5|11:5|12:5
78,19,2|2,0:1000|10:4|11:4|12:4
79,19,3|3,0:800|10:3|11:3|12:3
80,19,4|10,0:50
81,20,1|1,0:1000|10:6|11:6|12:6
82,20,2|2,0:1000|10:5|11:5|12:5
83,20,3|3,0:1000|10:4|11:4|12:4
84,20,4|10,0:50
85,21,1|1,0:1000|10:6|11:6|12:6
86,21,2|2,0:1000|10:5|11:5|12:5
87,21,3|3,0:1000|10:4|11:4|12:4
88,21,4|10,0:50
89,22,1|1,0:1000|10:6|11:6|12:6
90,22,2|2,0:1000|10:5|11:5|12:5
91,22,3|3,0:1000|10:4|11:4|12:4
92,22,4|10,0:50
93,23,1|1,0:1000|10:6|11:6|12:6
94,23,2|2,0:1000|10:5|11:5|12:5
95,23,3|3,0:1000|10:4|11:4|12:4
96,23,4|10,0:50
97,24,1|1,0:1000|10:6|11:6|12:6
98,24,2|2,0:1000|10:5|11:5|12:5
99,24,3|3,0:1000|10:4|11:4|12:4
100,24,4|10,0:50
