#动态难度表,,,,,,,,,,,,,,,,,,,
#id,难度段位,难度等级档位（每个大段位的难度等级都是从1开始）,升、降挡位时的默认挡位,关卡总组数限制,每组时长,初始新种类权重比权重比,初始已有2个权重比,初始已有1个权重比,剩余组数百分比阀值,已有2个的种类权重比,已有1个的种类权重比,新种类权重比,单推已有2个的种类权重比,单推已有1个的种类权重比,单推新种类权重比,促销货架增长概率,动态控制剩余时间,动态控制剩余进度,动态控制难度修正（凑齐|成对|新）
%id,difficulty_stage,level_index,is_up_down_default_level,group_limit,group_duration,init_new_weight,init_double_weight,init_single_weight,remaining_group_percents,double_weights,single_weights,new_weights,single_push_double_weights,single_push_single_weights,single_push_new_weights,promote_starting_advance_probability,remaining_time_control,remaining_progress_control,difficulty_correction
$[id:unique][id:type:int],[difficulty_stage:type:int],[level_index:type:int],[is_up_down_default_level:type:int],[group_limit:type:int],[group_duration:type:float],[init_new_weight:type:int],[init_double_weight:type:int],[init_single_weight:type:int],[remaining_group_percents:type:List<int>],[double_weights:type:List<int>],[single_weights:type:List<int>],[new_weights:type:List<int>],[single_push_double_weights:type:List<int>],[single_push_single_weights:type:List<int>],[single_push_new_weights:type:List<int>],[promote_starting_advance_probability:type:float],[remaining_time_control:type:float],[remaining_progress_control:type:float],[difficulty_correction:type:List<int>]
1,1,1,0,999,11,10,40,50,70|30|0,70|50|50,20|40|40,10|10|10,60|60|60,30|30|30,10|10|10,0.004,0.3,0.2,10|40|10
2,1,2,0,999,11,10,40,50,70|30|0,68|48|48,23|42|42,10|10|10,60|60|60,30|30|30,10|10|10,0.004,0.3,0.2,10|42|10
3,1,3,0,999,11,10,40,50,70|30|0,60|45|44,30|40|46,10|15|10,55|55|55,35|35|35,10|10|10,0.004,0.3,0.2,10|46|10
4,1,4,1,999,11,10,40,50,70|30|0,58|43|42,32|40|48,10|17|10,55|55|55,35|35|35,10|10|10,0.004,0.3,0.2,10|48|10
5,1,5,0,999,11,15,35,50,70|30|0,56|41|40,34|40|50,10|19|10,52|52|52,38|38|38,10|10|10,0.004,0.3,0.2,10|50|10
6,1,6,0,999,10,15,35,50,70|30|0,54|39|38,36|40|52,10|21|10,52|52|52,38|38|38,10|10|10,0.004,0.3,0.2,10|52|10
7,1,7,0,999,10,15,35,50,70|30|0,55|39|38,35|40|52,10|21|10,50|50|50,40|40|40,10|10|10,0.004,0.3,0.2,10|52|10
8,1,8,0,999,10,15,35,50,70|30|0,49|33|32,41|40|58,10|27|10,47|47|47,43|43|43,10|10|10,0.004,0.3,0.2,10|58|10
9,1,9,0,999,10,15,30,55,70|30|0,50|33|35,40|40|55,10|27|10,45|45|45,45|45|45,10|10|10,0.004,0.3,0.2,10|55|10
10,1,10,0,999,10,15,30,55,70|30|0,44|30|29,46|37|61,10|33|10,42|42|42,48|48|48,10|10|10,0.004,0.3,0.2,10|61|10
11,1,11,0,999,9,20,25,55,70|30|0,35|30|25,50|37|60,15|33|15,40|40|40,50|50|50,10|10|10,0.004,0.3,0.2,15|60|15
12,1,12,0,999,9,20,25,55,70|30|0,33|30|23,52|35|62,15|35|15,40|40|40,50|50|50,10|10|10,0.004,0.3,0.2,15|62|15
13,1,13,0,999,9,20,25,55,70|30|0,29|30|19,56|31|66,15|39|15,37|37|37,53|53|53,10|10|10,0.004,0.3,0.2,15|66|15
14,1,14,0,999,9,20,25,55,70|30|0,35|30|19,50|30|66,15|40|15,35|35|35,55|55|55,10|10|10,0.004,0.3,0.2,15|66|15
15,2,1,0,999,10,15,35,50,70|30|0,70|50|50,20|40|40,10|10|10,60|60|60,30|30|30,10|10|10,0.004,0.3,0.2,10|40|10
16,2,2,0,999,10,15,35,50,70|30|0,64|45|44,27|45|46,10|10|10,58|58|58,32|32|32,10|10|10,0.004,0.3,0.2,10|46|10
17,2,3,0,999,10,15,35,50,70|30|0,60|45|44,30|40|46,10|15|10,55|55|55,35|35|35,10|10|10,0.004,0.3,0.2,10|46|10
18,2,4,1,999,10,15,35,50,70|30|0,54|39|38,36|40|52,10|21|10,52|52|52,38|38|38,10|10|10,0.004,0.3,0.2,10|52|10
19,2,5,0,999,10,15,30,55,70|30|0,55|39|38,35|40|52,10|21|10,50|50|50,40|40|40,10|10|10,0.004,0.3,0.2,10|52|10
20,2,6,0,999,9,15,30,55,70|30|0,49|33|32,41|40|58,10|27|10,47|47|47,43|43|43,10|10|10,0.004,0.3,0.2,10|58|10
21,2,7,0,999,9,20,25,55,70|30|0,50|33|35,40|40|55,10|27|10,45|45|45,45|45|45,10|10|10,0.004,0.3,0.2,10|55|10
22,2,8,0,999,9,20,25,55,70|30|0,44|30|29,46|37|61,10|33|10,42|42|42,48|48|48,10|10|10,0.004,0.3,0.2,10|61|10
23,2,9,0,999,9,20,25,55,70|30|0,35|30|25,50|37|60,15|33|15,40|40|40,50|50|50,10|10|10,0.004,0.3,0.2,15|60|15
24,2,10,0,999,8,20,25,55,70|30|0,29|30|19,56|31|66,15|39|15,37|37|37,53|53|53,10|10|10,0.004,0.3,0.2,15|66|15
25,2,11,0,999,8,25,25,50,70|30|0,35|30|19,50|30|66,15|40|15,35|35|35,55|55|55,10|10|10,0.004,0.3,0.2,15|66|15
26,2,12,0,999,8,25,25,50,70|30|0,29|24|15,56|30|70,15|46|15,32|32|32,58|58|58,10|10|10,0.004,0.3,0.2,15|70|15
27,2,13,0,999,8,25,25,50,70|30|0,25|24|15,55|30|70,20|46|15,30|30|30,60|60|60,10|10|10,0.004,0.3,0.2,20|70|15
28,2,14,0,999,8,25,25,50,70|30|0,19|18|9,61|30|76,20|52|15,28|28|28,62|62|62,10|10|10,0.004,0.3,0.2,20|76|15
29,3,1,0,999,8,15,30,55,70|30|0,70|50|50,20|40|40,10|10|10,60|60|60,30|30|30,10|10|10,0.004,0.3,0.2,10|40|10
