#礼包表,,,,,,,,,,,,,,,,,,
#唯一Id,关联的礼包Id,商品id,礼包类型（1：普通礼包、2：去广告礼包、3：复活礼包、4：组合礼包、5：每日组合循环礼包）,弹框预制体,出现时间,星期几（-1无效）,出现条件（或）（GiftPopConditionGroup中的rule字段）,出现条件（与）（GiftPopConditionGroup中的rule字段）,触发位置（0：不会自动弹出、1：关闭道具获得界面、2：使用道具后的关卡界面、3：返回至主界面、4：刚进入关卡界面、5：金币复活，金币不足）,能购买的次数（-1：无限次）,能自动弹出的次数（-1：无限次）,持续时间（小时）（-1：该礼包没有持续时间，也就是在主界面放置入口）,购买类型（0：原价、-1：免费、>0：金币购买）,弹出CD（0：间隔分钟、1：间隔天数、2间隔关卡数）（0和1不能同时出现）,名字,物品,折扣(0-100),描述
%id,associated_gift_Ids,store_id,type,pop_prefab,show_time,show_week,pop_or_conditions,pop_and_conditions,trigger_positions,can_buy_count,can_auto_pop_count,continue_time,buy_type,pop_cd,name,items,discount,decription
$[id:unique][id:type:int],[associated_gift_Ids:type:List<int>],[store_id:type:int],[type:type:int],[pop_prefab:type:string],[show_time:type:string],[show_week:type:List<int>],[pop_or_conditions:type:List<string>],[pop_and_conditions:type:List<string>],[trigger_positions:type:List<int>],[can_buy_count:type:int],[can_auto_pop_count:type:int],[continue_time:type:int],[buy_type:type:int],[pop_cd:type:Dictionary<int&int>],[name:type:string],[items:type:string],[discount:type:int],[decription:type:stirng]
101,,27,1,GiftDialog,20200101-20300101,-1,,passlevel_8more|Daily_Pass_Level_6more,4|3,1,-1,1,0,1:1,Novice Special Pack,0:7100|10:1|11:1|21:15,3,弹出礼包
901,,7,2,GiftNoAdsDialog,20200101-20300101,-1,,passlevel_5more|Daily_Pass_Level_3more,3|4,1,-1,-1,0,1:1,Remove Ads Pack,0:7900|20:1,3,免广告礼包
201,,28,1,GiftDialog,20200101-20300101,-1,Buy_Hint_Prop_Direct_Purchase_Count_1less|Use_Gold_Coin_Buy_Hint_Prop_Count_1less,Used_Hint_Prop_Count_3more|Hint_Prop_Remaining_Count_2less,4|2,-1,-1,-1,0,1:1,Newbie Hammers Pack,0:3150|10:2,3,弹出锤子礼包
202,,29,1,GiftDialog,20200101-20300101,-1,Buy_Hint_Prop_Direct_Purchase_Count_1more|Use_Gold_Coin_Buy_Hint_Prop_Count_1more,Daily_Used_Hint_Prop_Count_1more|Hint_Prop_Remaining_Count_2less|Money_Remaining_Count_400less,4|2,-1,-1,-1,0,1:1,Promo Hammers Pack,0:7900|10:3,3,弹出锤子礼包
203,,30,1,GiftDialog,20200101-20300101,-1,Buy_Hint_Prop_Direct_Purchase_Count_1more|Use_Gold_Coin_Buy_Hint_Prop_Count_1more,Daily_Used_Hint_Prop_Count_1more|Hint_Prop_Remaining_Count_2less|Money_Remaining_Count_400less,4|2,-1,-1,-1,0,1:1,Deluxe Hammers Pack,0:13150|10:4,3,弹出锤子礼包
204,,31,1,GiftDialog,20200101-20300101,-1,Buy_Freeze_Prop_Direct_Purchase_Count_never|Use_Gold_Coin_Buy_Freeze_Prop_Count_1less,Used_Freeze_Prop_Count_3more|Freeze_Prop_Remaining_Count_2less,4|2,-1,-1,-1,0,1:1,Newie Drag Pack,0:3150|11:4,3,拖拽弹出礼包
205,,32,1,GiftDialog,20200101-20300101,-1,Buy_Freeze_Prop_Direct_Purchase_Count_1more|Use_Gold_Coin_Buy_Freeze_Prop_Count_1more,Daily_Used_Freeze_Prop_Count_1more|Freeze_Prop_Remaining_Count_2less|Money_Remaining_Count_400less,4|2,-1,-1,-1,0,1:1,Promo Drag Pack,0:7900|11:4,3,拖拽弹出礼包
206,,33,1,GiftDialog,20200101-20300101,-1,Buy_Freeze_Prop_Direct_Purchase_Count_1more|Use_Gold_Coin_Buy_Freeze_Prop_Count_1more,Daily_Used_Freeze_Prop_Count_1more|Freeze_Prop_Remaining_Count_2less|Money_Remaining_Count_400less,4|2,-1,-1,-1,0,1:1,Deluxe Drag Pack,0:13150|11:8,3,拖拽弹出礼包
207,,34,1,GiftDialog,20200101-20300101,-1,,Daily_Consume_Energy_5more,4|3,-1,-1,-1,0,1:1,Promo Health Pack,0:3150|21:20,3,体力弹出礼包
208,,35,1,GiftDialog,20200101-20300101,-1,,Daily_Consume_Energy_5more,4|3,-1,-1,-1,0,1:1,Deluxe Health Pack,0:3150|21:60,3,体力弹出礼包
209,,36,1,GiftDialog,20200101-20300101,-1,,Daily_Consume_Energy_5more,4|3,-1,-1,-1,0,1:1,Super Value Health Pack,0:3150|21:120,3,体力弹出礼包
215,,37,1,GiftDialog,20200101-20300101,-1,Buy_Refresh_Prop_Direct_Purchase_Count_1less|Use_Gold_Coin_Buy_Refresh_Prop_Count_1less,Used_Refresh_Prop_Count_3more|Refresh_Prop_Remaining_Count_2less,4|2,-1,-1,-1,0,1:1,Newbie Refresh Pack,0:3150|12:2,3,弹出刷新礼包
