#id,名字,功能标签（单词_单词、单词的手字母大写）,目标数据类型（String、Int32、Float）,对比规则（Float：Between、Greater、Less）（String：Full、LabelContainTarget、TargetContainLabel、LabelStartWithTarget、TargetStartWithLabel）（Int32：Equal、Between、Greater、Less）,目标数值
%id,name,field,type,method,targets
$[id:unique][id:type:int],[name:type:string],[field:type:string],[type:type:string],[method:type:string],[targets:type:List<string>]
1,passlevel_8more,Pass_Level,Int32,Greater,8
2,Gold_Revive_never,Gold_Coin_Revive_Count,Int32,Less,1
3,Internal_Purchase_Gold_Coin_Buy_Count_never,Internal_Purchase_Gold_Coin_Buy_Count,Int32,Less,1
4,Used_Hint_Prop_Count_5more,Used_Hint_Prop_Count,Int32,Greater,5
5,Used_Hint_Prop_Count_1to9,Used_Hint_Prop_Count,Int32,Between,0|10
6,Hint_Prop_Remaining_Count_2less,Hint_Prop_Remaining_Count,Int32,Less,2
7,Freeze_Prop_Remaining_Count_2less,Freeze_Prop_Remaining_Count,Int32,Less,2
8,Buy_Hint_Prop_Direct_Purchase_Count_1more,Buy_Hint_Prop_Direct_Purchase_Count,Int32,Greater,0
9,Buy_Hint_Prop_Direct_Purchase_Count_1less,Buy_Hint_Prop_Direct_Purchase_Count,Int32,Less,1
10,Internal_Purchase_Count_5more,Internal_Purchase_Count,Int32,Greater,4
11,Internal_Purchase_Count_10more,Internal_Purchase_Count,Int32,Greater,9
12,Internal_Purchase_Count_10less,Internal_Purchase_Count,Int32,Less,10
13,Buy_Freeze_Prop_Direct_Purchase_Count_1more,Buy_Freeze_Prop_Direct_Purchase_Count,Int32,Greater,0
14,Buy_Freeze_Prop_Direct_Purchase_Count_never,Buy_Freeze_Prop_Direct_Purchase_Count,Int32,Less,1
15,Daily_Pass_Level_5more,Daily_Pass_Level,Int32,Greater,4
16,Daily_Pass_Level_10more,Daily_Pass_Level,Int32,Greater,9
17,Daily_Consume_Energy_4more,Daily_Consume_Energy,Int32,Greater,3
18,Daily_Use_Gold_Coin_Buy_Energy_Count_1more,Daily_Use_Gold_Coin_Buy_Energy_Count,Int32,Greater,0
19,Daily_Revive_Count_4more,Daily_Revive_Count,Int32,Greater,3
20,Money_Remaining_Count_600less,Money_Remaining_Count,Int32,Less,600
21,Money_Remaining_Count_400less,Money_Remaining_Count,Int32,Less,400
22,Internal_Purchase_Gold_Coin_Buy_Count_1more,Internal_Purchase_Gold_Coin_Buy_Count,Int32,Greater,0
23,Revive_Count_10more,Revive_Count,Int32,Greater,9
24,Used_Freeze_Prop_Count_5more,Used_Freeze_Prop_Count,Int32,Greater,4
25,Used_Freeze_Prop_Caount_1to9,Used_Freeze_Prop_Count,Int32,Between,0|10
26,Use_Gold_Coin_Buy_Hint_Prop_Count_1less,Use_Gold_Coin_Buy_Hint_Prop_Count,Int32,Less,1
27,Use_Gold_Coin_Buy_Hint_Prop_Count_1more,Use_Gold_Coin_Buy_Hint_Prop_Count,Int32,Greater,0
28,Ad_Buy_Hint_Prop_Count_1more,Ad_Buy_Hint_Prop_Count,Int32,Greater,0
29,Use_Gold_Coin_Buy_Freeze_Prop_Count_1more,Use_Gold_Coin_Buy_Freeze_Prop_Count,Int32,Greater,0
30,Ad_Buy_Freeze_Prop_Count_1more,Ad_Buy_Freeze_Prop_Count,Int32,Greater,0
31,Daily_Ad_Buy_Energy_Count_1more,Daily_Ad_Buy_Energy_Count,Int32,Greater,0
32,Daily_Ad_Revive_Count_1more,Daily_Ad_Revive_Count,Int32,Greater,0
33,Daily_Gold_Coin_Revive_Count_1more,Daily_Gold_Coin_Revive_Count,Int32,Greater,0
34,Use_Gold_Coin_Buy_Freeze_Prop_Count_1less,Use_Gold_Coin_Buy_Freeze_Prop_Count,Int32,Less,1
35,Use_Gold_Coin_Buy_Energy_Count_1less,Use_Gold_Coin_Buy_Energy_Count,Int32,Less,1
36,Ad_Buy_Energy_Count_1less,Ad_Buy_Energy_Count,Int32,Less,1
37,Daily_Used_Hint_Prop_Count_1more,Daily_Used_Hint_Prop_Count,Int32,Greater,1
38,Daily_Used_Freeze_Prop_Count_1more,Daily_Used_Freeze_Prop_Count,Int32,Greater,1
39,Used_Freeze_Prop_Count_3more,Used_Freeze_Prop_Count,Int32,Greater,3
40,Daily_Consume_Energy_5more,Daily_Consume_Energy,Int32,Greater,4
41,Daily_Pass_Level_4more,Daily_Pass_Level,Int32,Greater,3
42,Daily_Pass_Level_8more,Daily_Pass_Level,Int32,Greater,7
43,passlevel_5more,Pass_Level,Int32,Greater,5
44,Used_Hint_Prop_Count_3more,Used_Hint_Prop_Count,Int32,Greater,3
45,Revive_Count_3more,Revive_Count,Int32,Greater,2
46,passlevel_10more,Pass_Level,Int32,Greater,9
47,Daily_Pass_Level_6more,Daily_Pass_Level,Int32,Greater,5
48,Daily_Pass_Level_3more,Daily_Pass_Level,Int32,Greater,2
49,Buy_Refresh_Prop_Direct_Purchase_Count_1more,Buy_Refresh_Prop_Direct_Purchase_Count,Int32,Greater,0
50,Buy_Refresh_Prop_Direct_Purchase_Count_1less,Buy_Refresh_Prop_Direct_Purchase_Count,Int32,Less,1
51,Refresh_Prop_Remaining_Count_2less,Refresh_Prop_Remaining_Count,Int32,Less,2
52,Used_Refresh_Prop_Count_3more,Used_Refresh_Prop_Count,Int32,Greater,3
53,Daily_Used_Refresh_Prop_Count_1more,Daily_Used_Refresh_Prop_Count,Int32,Greater,1
54,Use_Gold_Coin_Buy_Refresh_Prop_Count_1less,Use_Gold_Coin_Buy_Refresh_Prop_Count,Int32,Less,1
55,Use_Gold_Coin_Buy_Refresh_Prop_Count_1more,Use_Gold_Coin_Buy_Refresh_Prop_Count,Int32,Greater,0
56,Ad_Buy_Refresh_Prop_Count_1more,Ad_Buy_Refresh_Prop_Count,Int32,Greater,0
