#id,必须条件,忽略条件,规则标签
%id,filters_required,filters_excluded,rule
$[id:unique][id:type:int],[filters_required:type:List<string>],[filters_excluded:type:List<string>],[rule:type:string]
1,passlevel_8more,,passlevel_8more
2,Gold_Revive_never,,Gold_Revive_never
3,Internal_Purchase_Gold_Coin_Buy_Count_never,,Internal_Purchase_Gold_Coin_Buy_Count_never
4,Used_Hint_Prop_Count_5more,,Used_Hint_Prop_Count_5more
5,Used_Hint_Prop_Count_1to9,,Used_Hint_Prop_Count_1to9
6,Hint_Prop_Remaining_Count_2less,,Hint_Prop_Remaining_Count_2less
7,Freeze_Prop_Remaining_Count_2less,,Freeze_Prop_Remaining_Count_2less
8,Buy_Hint_Prop_Direct_Purchase_Count_1more,,Buy_Hint_Prop_Direct_Purchase_Count_1more
9,Buy_Hint_Prop_Direct_Purchase_Count_1less,,Buy_Hint_Prop_Direct_Purchase_Count_1less
10,Internal_Purchase_Count_5more,,Internal_Purchase_Count_5more
11,Internal_Purchase_Count_10more,,Internal_Purchase_Count_10more
12,Internal_Purchase_Count_10less,,Internal_Purchase_Count_10less
13,Buy_Freeze_Prop_Direct_Purchase_Count_1more,,Buy_Freeze_Prop_Direct_Purchase_Count_1more
14,Buy_Freeze_Prop_Direct_Purchase_Count_never,,Buy_Freeze_Prop_Direct_Purchase_Count_never
15,Daily_Pass_Level_5more,,Daily_Pass_Level_5more
16,Daily_Pass_Level_10more,,Daily_Pass_Level_10more
17,Daily_Consume_Energy_4more,,Daily_Consume_Energy_4more
18,Daily_Use_Gold_Coin_Buy_Energy_Count_1more,,Daily_Use_Gold_Coin_Buy_Energy_Count_1more
19,Daily_Revive_Count_4more,,Daily_Revive_Count_4more
20,Money_Remaining_Count_600less,,Money_Remaining_Count_600less
21,Money_Remaining_Count_400less,,Money_Remaining_Count_400less
22,Internal_Purchase_Gold_Coin_Buy_Count_1more,,Internal_Purchase_Gold_Coin_Buy_Count_1more
23,Revive_Count_10more,,Revive_Count_10more
24,Used_Freeze_Prop_Count_5more,,Used_Freeze_Prop_Count_5more
25,Used_Freeze_Prop_Caount_1to9,,Used_Freeze_Prop_Caount_1to9
26,Use_Gold_Coin_Buy_Hint_Prop_Count_1less,,Use_Gold_Coin_Buy_Hint_Prop_Count_1less
27,Use_Gold_Coin_Buy_Hint_Prop_Count_1more,,Use_Gold_Coin_Buy_Hint_Prop_Count_1more
28,Ad_Buy_Hint_Prop_Count_1more,,Ad_Buy_Hint_Prop_Count_1more
29,Use_Gold_Coin_Buy_Freeze_Prop_Count_1more,,Use_Gold_Coin_Buy_Freeze_Prop_Count_1more
30,Ad_Buy_Freeze_Prop_Count_1more,,Ad_Buy_Freeze_Prop_Count_1more
31,Daily_Ad_Buy_Energy_Count_1more,,Daily_Ad_Buy_Energy_Count_1more
32,Daily_Ad_Revive_Count_1more,,Daily_Ad_Revive_Count_1more
33,Daily_Gold_Coin_Revive_Count_1more,,Daily_Gold_Coin_Revive_Count_1more
34,Use_Gold_Coin_Buy_Freeze_Prop_Count_1less,,Use_Gold_Coin_Buy_Freeze_Prop_Count_1less
35,Use_Gold_Coin_Buy_Energy_Count_1less,,Use_Gold_Coin_Buy_Energy_Count_1less
36,Ad_Buy_Energy_Count_1less,,Ad_Buy_Energy_Count_1less
37,Daily_Used_Hint_Prop_Count_1more,,Daily_Used_Hint_Prop_Count_1more
38,Daily_Used_Freeze_Prop_Count_1more,,Daily_Used_Freeze_Prop_Count_1more
39,Used_Freeze_Prop_Count_3more,,Used_Freeze_Prop_Count_3more
40,Daily_Consume_Energy_5more,,Daily_Consume_Energy_5more
41,Daily_Pass_Level_4more,,Daily_Pass_Level_4more
42,Daily_Pass_Level_8more,,Daily_Pass_Level_8more
43,passlevel_5more,,passlevel_5more
44,Used_Hint_Prop_Count_3more,,Used_Hint_Prop_Count_3more
45,Revive_Count_3more,,Revive_Count_3more
46,passlevel_10more,,passlevel_10more
47,Daily_Pass_Level_6more,,Daily_Pass_Level_6more
48,Daily_Pass_Level_3more,,Daily_Pass_Level_3more
49,Buy_Refresh_Prop_Direct_Purchase_Count_1more,,Buy_Refresh_Prop_Direct_Purchase_Count_1more
50,Buy_Refresh_Prop_Direct_Purchase_Count_1less,,Buy_Refresh_Prop_Direct_Purchase_Count_1less
51,Refresh_Prop_Remaining_Count_2less,,Refresh_Prop_Remaining_Count_2less
52,Used_Refresh_Prop_Count_3more,,Used_Refresh_Prop_Count_3more
53,Daily_Used_Refresh_Prop_Count_1more,,Daily_Used_Refresh_Prop_Count_1more
54,Use_Gold_Coin_Buy_Refresh_Prop_Count_1less,,Use_Gold_Coin_Buy_Refresh_Prop_Count_1less
55,Use_Gold_Coin_Buy_Refresh_Prop_Count_1more,,Use_Gold_Coin_Buy_Refresh_Prop_Count_1more
56,Ad_Buy_Refresh_Prop_Count_1more,,Ad_Buy_Refresh_Prop_Count_1more
