#关卡循环关中关表,,,
#ID,标签,关卡,黄金商品出现关卡
%id,type_label,level_id,gold_product_stage
$[id:unique][id:type:int],[type_label:type:int],[level_id:type:int],[gold_product_stage:type:int]
1,1100,1101,1
2,1100,1102,1
3,1100,1103,1
4,1100,1104,1
5,1100,1105,1
6,1100,1106,1
7,1100,1107,1
8,1100,1108,1
9,1100,1109,1
10,1100,1110,1
11,1100,1111,1
12,1100,1112,1
13,2100,2101,1
14,2100,2102,1
15,2100,2103,1
16,2100,2104,1
17,2100,2105,1
18,1200,1201,1
19,1200,1202,1
20,1200,1203,1
21,1200,1204,1
22,1200,1205,1
23,1200,1206,1
24,1200,1207,1
25,1200,1208,1
26,1200,1209,1
27,1200,1210,1
28,1200,1211,1
29,1200,1212,1
30,2200,2201,1
31,2200,2202,1
32,2200,2203,1
33,2200,2204,1
34,2200,2205,1
35,1300,1301,1
36,1300,1302,1
37,1300,1303,1
38,1300,1304,1
39,1300,1305,1
40,1300,1306,1
41,1300,1307,1
42,1300,1308,1
43,1300,1309,1
44,1300,1310,1
45,1300,1311,1
46,1300,1312,1
47,2300,2301,1
48,2300,2302,1
49,2300,2303,1
50,2300,2304,1
51,2300,2305,1
52,9100,9101,1
53,9100,9102,1
54,9100,9103,1
55,9100,9104,1
56,9100,9105,1
57,9100,9106,1
58,9200,9201,1
59,9200,9202,1
60,9200,9203,1
61,9200,9204,1
62,9200,9205,1
63,9200,9206,1
64,9300,9301,1
65,9300,9302,1
66,9300,9303,1
67,9300,9304,1
68,9300,9305,1
69,9300,9306,1
70,1100,1113,1
71,1100,1114,1
72,1100,1115,1
73,1100,1116,1
74,1100,1117,1
75,1100,1118,1
76,1100,1119,1
77,1100,1120,1
78,1100,1121,1
79,1100,1122,1
80,1100,1123,1
81,2100,2107,1
82,2100,2108,1
83,2100,2109,1
84,2100,2110,1
85,2100,2111,1
86,2100,2112,1
87,2100,2113,1
88,2100,2114,1
89,1200,1213,1
90,1200,1214,1
91,1200,1215,1
92,1200,1216,1
93,1200,1217,1
94,1200,1218,1
95,1200,1219,1
96,1200,1220,1
97,1200,1221,1
98,1200,1222,1
99,1200,1223,1
100,2200,2207,1
101,2200,2208,1
102,2200,2209,1
103,2200,2210,1
104,2200,2211,1
105,2200,2212,1
106,2200,2213,1
107,2200,2214,1
108,1300,1313,1
109,1300,1314,1
110,1300,1315,1
111,1300,1316,1
112,1300,1317,1
113,1300,1318,1
114,1300,1319,1
115,1300,1320,1
116,1300,1321,1
117,1300,1322,1
118,1300,1323,1
119,2300,2307,1
120,2300,2308,1
121,2300,2309,1
122,2300,2310,1
123,2300,2311,1
124,2300,2312,1
125,2300,2313,1
126,2300,2314,1
127,10200,2208,1
128,10200,2209,1
129,10200,2201,1
130,10200,2202,1
131,10200,1210,1
132,10200,1203,1
133,10200,1219,1
134,10200,1212,1
135,10200,1205,1
136,10200,2204,1
137,10200,1221,1
138,10200,1207,1
139,10200,1223,1
140,10200,1216,1
141,10200,1209,1
142,10200,1202,1
143,10200,1211,1
144,10200,2214,1
145,10200,1220,1
146,10200,1206,1
147,10200,1201,1
148,10200,1217,1
149,10200,2211,1
150,10200,1111,1
151,10200,1104,1
152,10300,1317,1
153,10300,1304,1
154,10300,9303,1
155,10300,1313,1
156,10300,9301,1
157,10300,1322,1
158,10300,1321,1
159,10300,2310,1
160,10300,1308,1
161,10300,1307,1
162,10300,2303,1
163,10300,1316,1
164,10300,2311,1
165,10300,1303,1
166,10300,1302,1
167,10300,2304,1
168,10300,1312,1
169,10300,1311,1
170,10300,2312,1
171,10300,1320,1
172,10300,2305,1
173,10300,1306,1
174,10300,2313,1
175,10300,1315,1
176,10300,2307,1
177,10300,1301,1
178,10300,2314,1
179,10300,1310,1
180,10300,2308,1
181,10300,2301,1
182,10300,2309,1
183,10300,1314,1
184,10300,2302,1
185,10300,1323,1
186,10300,1319,1
187,12200,11104,1
188,12200,11111,1
189,12200,11201,1
190,12200,11202,1
191,12200,11203,1
192,12200,11205,1
193,12200,11206,1
194,12200,11207,1
195,12200,11209,1
196,12200,11210,1
197,12200,11211,1
198,12200,11212,1
199,12200,11216,1
200,12200,11217,1
201,12200,11219,1
202,12200,11220,1
203,12200,11221,1
204,12200,11223,1
205,12200,12201,1
206,12200,12202,1
207,12200,12204,1
208,12200,12208,1
209,12200,12209,1
210,12200,12211,1
211,12200,12214,1
212,13300,22307,1
213,13300,21315,1
214,13300,22305,1
215,13300,22304,1
216,13300,21322,1
217,13300,21308,1
218,13300,21320,1
219,13300,21316,1
220,13300,21302,1
221,13300,21312,1
222,13300,22310,1
223,13300,21303,1
224,13300,21306,1
225,13300,21321,1
226,13300,22312,1
227,13300,22303,1
228,13300,22311,1
229,13300,21313,1
230,13300,21307,1
231,13300,21317,1
232,13300,21304,1
233,13300,22313,1
234,13300,21311,1
235,13300,21301,1
236,13300,21310,1
237,13300,21314,1
238,13300,21319,1
239,13300,21323,1
240,13300,22301,1
241,13300,22302,1
242,13300,22308,1
243,13300,22309,1
244,13300,22314,1
245,1100,1124,1
246,1100,1125,1
247,1100,1126,1
248,1100,1127,1
249,1100,1128,1
250,1100,1134,1
251,1100,1135,1
252,1100,1136,1
253,1100,1137,1
254,1100,1138,1
255,1100,1139,1
256,1100,2117,1
257,1100,2119,1
258,1100,2120,1
259,2100,2123,1
260,2100,2124,1
261,2100,2125,1
262,2100,2126,1
263,2100,2129,1
264,2100,2132,1
265,2100,2133,1
266,2100,2134,1
267,2100,2135,1
268,2100,2136,1
269,1200,1224,1
270,1200,1225,1
271,1200,1226,1
272,1200,1227,1
273,1200,1228,1
274,1200,1234,1
275,1200,1235,1
276,1200,1236,1
277,1200,1237,1
278,1200,1238,1
279,1200,1239,1
280,2200,2217,1
281,2200,2219,1
282,2200,2220,1
283,2200,2223,1
284,2200,2224,1
285,2200,2225,1
286,2200,2226,1
287,2200,2229,1
288,2200,2232,1
289,2200,2233,1
290,2200,2234,1
291,2200,2235,1
292,2200,2236,1
293,1300,1324,1
294,1300,1325,1
295,1300,1326,1
296,1300,1327,1
297,1300,1328,1
298,1300,1334,1
299,1300,1335,1
300,1300,1336,1
301,1300,1337,1
302,1300,1338,1
303,1300,1339,1
304,2300,2317,1
305,2300,2319,1
306,2300,2320,1
307,2300,2323,1
308,2300,2324,1
309,2300,2325,1
310,2300,2326,1
311,2300,2329,1
312,2300,2332,1
313,2300,2333,1
314,2300,2334,1
315,2300,2335,1
316,2300,2336,1
317,12200,11224,1
318,12200,11225,1
319,12200,11226,1
320,12200,11227,1
321,12200,11228,1
322,12200,11234,1
323,12200,11235,1
324,12200,11236,1
325,12200,11237,1
326,12200,11238,1
327,12200,11239,1
328,12200,12217,1
329,12200,12219,1
330,12200,12220,1
331,12200,12223,1
332,12200,12224,1
333,12200,12225,1
334,12200,12226,1
335,12200,12229,1
336,12200,12232,1
337,12200,12233,1
338,12200,12234,1
339,12200,12235,1
340,12200,12236,1
341,13300,21324,1
342,13300,21325,1
343,13300,21326,1
344,13300,21327,1
345,13300,21328,1
346,13300,21334,1
347,13300,21335,1
348,13300,21336,1
349,13300,21337,1
350,13300,21338,1
351,13300,21339,1
352,13300,22317,1
353,13300,22319,1
354,13300,22320,1
355,13300,22323,1
356,13300,22324,1
357,13300,22325,1
358,13300,22326,1
359,13300,22329,1
360,13300,22332,1
