#id,组ID,奖励,免费权重,广告权重,特等奖
%id,group_id,rewards,free_weight,ad_weight,is_fix_weight
$[id:unique][id:type:int],[group_id:type:int],[rewards:type:List<int>],[free_weight:type:int],[ad_weight:type:int],[is_fix_weight:type:int]
1,1,0|500,1,1,1
2,1,10|1,28,28,0
3,1,0|70,20,20,0
4,1,0|50,60,60,0
5,1,0|20,50,50,0
6,1,0|70,40,40,0
7,2,10|1,1,1,1
8,2,0|70,28,60,0
9,2,0|50,20,40,0
10,2,0|20,60,28,0
11,2,0|70,50,50,0
12,2,0|15,40,20,0
13,3,11|1,1,1,1
14,3,0|70,28,60,0
15,3,0|50,20,40,0
16,3,0|20,60,28,0
17,3,0|70,50,50,0
18,3,0|15,40,20,0
19,4,0|500,1,1,1
20,4,0|70,28,60,0
21,4,10|1,20,40,0
22,4,0|20,60,28,0
23,4,0|20,50,50,0
24,4,0|15,40,20,0
25,5,0|500,1,1,1
26,5,0|70,28,60,0
27,5,11|1,20,40,0
28,5,0|20,60,28,0
29,5,0|20,50,50,0
30,5,0|15,40,20,0
31,6,0|500,1,1,1
32,6,0|70,28,60,0
33,6,12|1,20,40,0
34,6,0|20,60,28,0
35,6,0|20,50,50,0
36,6,0|15,40,20,0
37,7,12|1,1,1,1
38,7,0|70,28,60,0
39,7,0|50,20,40,0
40,7,0|20,60,28,0
41,7,0|70,50,50,0
42,7,0|15,40,20,0
