#星星宝箱表
#编号,完成数,奖励,卡包ID,是否随机卡包奖励
%id,completed_num,reward_items,card_box_id,card_random
$[id:unique][id:type:int],[completed_num:type:int],[reward_items:type:string],[card_box_id:type:int],[card_random:type:int]
1,200,10:1,-1,0
2,200,12:1,-1,0
3,200,0:350,-1,0
4,200,0:350,-1,0
5,200,11:1,-1,0
6,400,0:350,-1,0
7,400,0:350,-1,0
8,400,0:350,-1,0
9,400,0:350,-1,0
10,400,0:350,-1,0
11,800,0:400,-1,0
12,800,0:400,-1,0
13,800,0:400,-1,0
14,800,0:400,-1,0
15,800,0:400,-1,0
16,800,0:400,-1,0
17,800,0:400,-1,0
18,800,0:400,-1,0
19,800,0:400,-1,0
20,800,0:400,-1,0
21,1000,10:1,-1,0
22,1000,11:1,-1,0
23,1000,12:1,-1,0
24,1000,0:400,-1,0
25,1000,0:400,-1,0
26,1000,0:400,-1,0
27,1000,0:400,-1,0
28,1000,0:400,-1,0
29,1000,0:400,-1,0
30,1000,0:400,-1,0
31,1000,0:400,-1,0
32,1000,0:400,-1,0
33,1000,0:400,-1,0
34,1000,0:400,-1,0
35,1000,0:400,-1,0
36,1000,0:400,-1,0
37,1000,0:400,-1,0
38,1000,0:400,-1,0
