#货品表,,,
#id,名称,模型,是否可以变换为黄金块
%id,name,model,gold_change_toggle
$[id:unique][id:type:int],[name:type:string],[model:type:string],[gold_change_toggle:type:int]
10001,猕猴桃水,gm2d_texture_drink_1,1
10002,柠檬茶,gm2d_texture_drink_2,1
10003,冰红茶,gm2d_texture_drink_3,1
10004,红茶杯,gm2d_texture_drink_4,1
10005,白桃乌龙茶,gm2d_texture_drink_5,1
10006,苏打水,gm2d_texture_drink_6,1
10007,玫瑰茶,gm2d_texture_drink_7,1
10008,炼乳,gm2d_texture_drink_8,1
10009,橙子水,gm2d_texture_drink_9,1
10010,普洱茶,gm2d_texture_drink_10,1
10011,水果茶一壶,gm2d_texture_drink_11,1
10012,咖啡拿铁,gm2d_texture_drink_12,1
10013,绿色布丁,gm2d_texture_drink_13,1
10014,葡萄水,gm2d_texture_drink_14,1
10015,草莓水,gm2d_texture_drink_15,1
10016,橙子水+雪盖,gm2d_texture_drink_16,1
10017,草莓水+雪盖,gm2d_texture_drink_17,1
10018,猕猴桃水高脚杯,gm2d_texture_drink_18,1
10019,椰子水,gm2d_texture_drink_19,1
10020,草莓牛奶,gm2d_texture_drink_20,1
10021,吐司1,gm2d_texture_cake_1,1
10022,玫瑰蛋糕,gm2d_texture_cake_2,1
10023,牛角包,gm2d_texture_cake_3,1
10024,三明治1,gm2d_texture_cake_4,1
10025,樱桃派,gm2d_texture_cake_5,1
10026,华夫饼,gm2d_texture_cake_6,0
10027,樱花饼,gm2d_texture_cake_7,1
10028,杯子蛋糕,gm2d_texture_cake_8,1
10029,黄油煎饼,gm2d_texture_cake_9,1
10030,草莓吐司,gm2d_texture_cake_10,1
10031,三明治2,gm2d_texture_cake_11,1
10032,吐司一片,gm2d_texture_cake_12,1
10033,抹茶蛋糕,gm2d_texture_cake_13,1
10034,菠萝包,gm2d_texture_cake_14,1
10035,黄桃蛋糕,gm2d_texture_cake_15,1
10036,吐司2,gm2d_texture_cake_16,1
10037,甜甜圈,gm2d_texture_cake_17,1
10038,柠檬蛋糕,gm2d_texture_cake_18,1
10039,布丁蛋糕,gm2d_texture_cake_19,1
10040,芝士块,gm2d_texture_cake_20,1
10041,蜂蜜瓶,gm2d_texture_condiment_1,1
10042,盐罐,gm2d_texture_condiment_2,1
10043,木碗绿色酱,gm2d_texture_condiment_3,1
10044,木碗胡椒粉,gm2d_texture_condiment_4,1
10045,木碗肉桂粉,gm2d_texture_condiment_5,1
10046,木碗树莓粉,gm2d_texture_condiment_6,1
10047,玻璃瓶香料粉,gm2d_texture_condiment_7,1
10048,玻璃瓶柠檬粉,gm2d_texture_condiment_8,1
10049,玻璃瓶黑松露粉,gm2d_texture_condiment_9,1
10050,玻璃瓶罗勒粉,gm2d_texture_condiment_10,1
10051,玻璃瓶粉盐,gm2d_texture_condiment_11,1
10052,番茄酱,gm2d_texture_condiment_12,1
10053,一小堆盐,gm2d_texture_condiment_13,1
10054,一小堆大蒜粉,gm2d_texture_condiment_14,0
10055,菠萝罐头,gm2d_texture_condiment_15,0
10056,鱼罐头,gm2d_texture_condiment_16,1
10057,番茄罐头,gm2d_texture_condiment_17,1
10058,酸黄瓜罐头,gm2d_texture_condiment_18,1
10059,午餐肉罐头,gm2d_texture_condiment_19,1
10060,一壶咖啡,gm2d_texture_condiment_20,1
10061,口红紫把,gm2d_texture_makeups_1,1
