#随机关卡表
#id,造型ID,
%id,shape_ids,gold_blocks,group
$[id:unique][id:type:int],[shape_ids:type:List<int>],[gold_blocks:type:List<int>],[group:type:int]
1,57,-1,0
2,58,-1,3
3,59,-1,0
4,60,-1,1
5,61,-1,0
6,62,-1,0
7,63,-1,2
8,64,-1,0
9,65,-1,0
10,66,-1,0
11,67,-1,0
12,68,-1,0
13,69,-1,0
14,70,-1,0
15,71,-1,0
16,72,-1,0
17,73,-1,0
18,74,-1,0
19,75,-1,0
20,76,-1,0
21,77,-1,0
22,78,-1,0
23,79,-1,0
24,80,-1,0
25,81,-1,0
26,82,-1,0
27,83,-1,0
28,84,-1,0
29,85,-1,0
30,86,-1,0
31,87,-1,0
32,88,-1,0
33,89,-1,0
34,90,-1,0
35,91,-1,0
36,92,-1,0
37,93,-1,0
38,94,-1,0
39,95,-1,0
40,96,-1,0
41,97,-1,0
42,240,-1,0
43,241,-1,0
44,251,-1,0
45,252,-1,0
46,262,-1,0
47,263,-1,0
48,285,-1,0
49,264,-1,0
50,286,-1,0
51,289,-1,0
52,292,-1,0
53,242,-1,0
54,253,-1,0
55,277,-1,0
56,278,-1,0
57,239,-1,0
58,242,-1,0
59,295,-1,0
60,294,-1,0
61,296,-1,0
62,246,-1,0
63,248,-1,0
64,257,-1,0
65,259,-1,0
66,268,-1,0
67,270,-1,0
68,193,-1,0
69,195,-1,0
70,203,-1,0
71,88,-1,0
72,160,-1,0
73,186,-1,0
74,215,-1,0
75,190,-1,0
76,270,-1,0
77,299,-1,0
78,301,-1,0
79,302,-1,0
80,1139,-1,0
81,303,-1,0
10024,10024,-1,0
10025,10025,-1,0
10026,10026,-1,0
10027,10027,-1,0
10028,10028,-1,0
10029,10029,-1,21
10030,10030,-1,0
10031,10031,-1,21
10032,10032,-1,0
10033,10033,-1,0
10034,10034,-1,0
10035,10035,-1,0
10036,10036,-1,0
10037,10037,-1,0
10038,10038,-1,0
10039,10039,-1,21
10040,10040,-1,0
10041,10041,-1,0
10042,10042,-1,0
10043,10043,-1,0
10044,10044,-1,0
10045,10045,-1,0
10046,10046,-1,0
10047,10047,-1,0
10048,10048,-1,0
10049,10049,-1,0
10050,10050,-1,21
10051,10051,-1,0
10052,10052,-1,0
10053,10053,-1,0
10054,10054,-1,0
10055,10055,-1,0
10056,10056,-1,0
10057,10057,-1,0
10058,10058,-1,0
10059,10059,-1,0
10060,10060,-1,0
10061,10061,-1,0
10062,10062,-1,0
10063,10063,-1,0
10064,10064,-1,0
10065,10065,-1,51
10066,10066,-1,51
10067,10067,-1,0
10068,10068,-1,0
10069,10069,-1,0
10070,10070,-1,21
10071,10071,-1,51
10072,10072,-1,0
10073,10073,-1,0
10074,10074,-1,0
10075,10075,-1,0
10076,10076,-1,2
10077,10077,-1,0
10078,10078,-1,2
10079,10079,-1,0
10080,10080,-1,0
10081,10081,-1,0
10082,10082,-1,21
10083,10083,-1,0
10084,10084,-1,21
10085,10085,-1,2
10086,10086,-1,51
10087,10087,-1,2
10088,10088,-1,2
10089,10089,-1,2
10090,10090,-1,0
10091,10091,-1,0
10092,10092,-1,0
10093,10093,-1,0
10094,10094,-1,0
10095,10095,-1,0
10096,10096,-1,0
10097,10097,-1,0
10098,10098,-1,0
10099,10099,-1,51
10100,10100,-1,0
10101,10101,-1,51
10102,10102,-1,0
10103,10103,-1,0
10104,10104,-1,0
10105,10105,-1,51
10106,10106,-1,0
10107,10107,-1,0
10108,10108,-1,0
10109,10109,-1,0
10110,10110,-1,51
10111,10111,-1,0
10112,10112,-1,0
10113,10113,-1,0
10114,10114,-1,0
10115,10115,-1,0
10116,10116,-1,0
10117,10117,-1,2
10118,10118,-1,0
10119,10119,-1,0
10120,10120,-1,0
10121,10121,-1,0
10122,10122,-1,0
10123,10123,-1,0
10124,10124,-1,0
10125,10125,-1,0
10126,10126,-1,0
10127,10127,-1,51
10128,10128,-1,0
10129,10129,-1,71
10130,10130,-1,71
10131,10131,-1,0
10132,10132,-1,0
10133,10133,-1,0
10134,10134,-1,0
10135,10135,-1,0
10136,10136,-1,0
10137,10137,-1,0
10138,10138,-1,0
10139,10139,-1,0
10140,10140,-1,0
10141,10141,-1,0
10142,10142,-1,0
10143,10143,-1,0
10144,10144,-1,0
10145,10145,-1,0
10146,10146,-1,0
10147,10147,-1,0
10148,10148,-1,0
10149,10149,-1,0
10150,10150,-1,0
10151,10151,-1,0
10152,10152,-1,0
10153,10153,-1,0
10154,10154,-1,0
10155,10155,-1,71
10156,10156,-1,0
10157,10157,-1,0
10158,10158,-1,0
10159,10159,-1,0
10160,10160,-1,0
10161,10161,-1,0
10162,10162,-1,0
10163,10163,-1,51
10164,10164,-1,0
10165,10165,-1,2
10166,10166,-1,71
10167,10167,-1,0
10168,10168,-1,0
10169,10169,-1,0
10170,10170,-1,0
10171,10171,-1,0
10172,10172,-1,2
10173,10173,-1,0
10174,10174,-1,0
10175,10175,-1,71
10176,10176,-1,0
10177,10177,-1,0
10178,10178,-1,0
10179,10179,-1,0
10180,10180,-1,0
10181,10181,-1,0
10182,10182,-1,0
10183,10183,-1,0
10184,10184,-1,0
10185,10185,-1,0
10186,10186,-1,0
10187,10187,-1,0
10188,10188,-1,0
10189,10189,-1,0
10190,10190,-1,0
10191,10191,-1,0
10192,10192,-1,0
10193,10193,-1,0
10194,10194,-1,0
10195,10195,-1,0
10196,10196,-1,0
10197,10197,-1,0
10198,10198,-1,31
10199,10199,-1,31
10201,10201,-1,52
10200,10200,-1,32
10203,10203,-1,2
10503,10503,-1,0
10504,10504,-1,0
10202,10202,-1,32
10204,10204,-1,2
10507,10507,-1,0
10205,10205,-1,32
10207,10207,-1,32
10510,10510,-1,0
10511,10511,-1,0
10512,10512,-1,0
10513,10513,-1,0
10221,10221,-1,32
10213,10213,-1,0
10516,10516,-1,0
10517,10517,-1,41
10222,10222,-1,32
10519,10519,-1,41
10217,10217,-1,52
10219,10219,-1,52
10223,10223,-1,52
10523,10523,-1,41
10524,10524,-1,41
10230,10230,-1,32
10224,10224,-1,0
10267,10267,-1,32
10227,10227,-1,0
10282,10282,-1,32
10228,10228,-1,0
10287,10287,-1,32
