#LocalAI配置表,,,,
#唯一Id,名字,得分
%id,name,score
$[id:unique][id:type:int],[name:type:string],[score:type:int]
1,Matt,99903
2,player2023593065,98738
3,In,98700
4,player202349746,98674
5,Nelson,98523
6,Kristen,98387
7,player2022237978,98126
8,Vicki,98081
9,player2022535543,97951
10,player202376466,97931
11,Leticia,97575
12,Willie,96607
13,Mario,96534
14,player2021893506,96463
15,Mino,95762
16,Travis,95444
17,Ecojet,94905
18,Dlue,94415
19,Dragon,94180
20,Kristie,93702
21,Jenny,93689
22,Cross,93465
23,player2023534727,92598
24,Esther,92521
25,Jon,92222
26,Eternal,91709
27,Virgil,91692
28,Lyle,91454
29,Lovedearly,91441
30,player20217353,91241
31,player2022209541,89564
32,player2023955160,89334
33,player2023555364,89073
34,Abraham,88819
35,player2021368880,88524
36,Sharon,88236
37,Sudoko,88222
38,Neilyo,88055
39,Kingdom,87690
40,player202155407,86723
41,player2023767575,86099
42,mustard,84738
43,Warren,84306
44,Bigbo,83013
45,player2022828906,82487
46,Kim,82088
47,Otherworldly,81864
48,player2021258695,80921
49,Paula,80850
50,Evan,79821
51,Softsister,79253
52,Yandere,79248
53,Terrell,78769
54,Charlie,78738
55,Cecelia,78039
56,Patrick,77749
57,Sniper,76526
58,player2023651364,75924
59,pretext,75409
60,Arturo,75311
61,Beulah,74441
62,Infatuation,74359
63,player2021677503,74220
64,Carlos,74169
65,Rosa,74105
66,Slient,73411
67,player2023242652,73156
68,Tomas,72919
69,Gabriel,72631
70,Kim,72111
71,Katrina,72011
72,player2021969185,71324
73,Jean,71244
74,Evileyes,70981
75,Woodrow,70668
76,Emanuel,70043
77,player2023385977,69432
78,Alfonso,69343
79,Charm,69271
80,player2021476660,68944
81,Candace,68652
82,player2021432159,68144
83,player2023992801,68099
84,player202365191,67721
85,Bigrikki,67422
86,Miranda,66707
87,Shdas,66681
88,Cornelius,66663
89,Adc,66537
90,Sadfg,65799
91,Dave,65679
92,Francis,65469
93,Minikaka,64849
94,Alfred,63093
95,player2022714001,62961
96,Sweetmail,62559
97,Flounder,62101
98,despair,61404
99,Carole,60704
100,Olbln,59944
101,Kendra,59832
102,Huffer,59804
103,Allan,59490
104,player2021191625,59426
105,player2022288970,59319
106,player2021509835,59257
107,Lynn,59224
