#资源key,资源名,用处备注
%key,normal_name,activity_name,description
$[key:unique][key:type:string],[normal_name:type:string],[activity_name:type:string],[description:type:string]
GameLogo,Effect/GameLogo,Effect/GameLogo_Christmas,主页logo动画
BattlePassDialog,Prefabs/Activity/BattlePass/BattlePassDialog,Prefabs/Activity/BattlePass/BattlePassDialogChristmas,通行证活动主页弹框
BattlePassBox,Effect/BattlePassBox,Effect/BattlePassBox_Christmas,通行证宝箱动画
BuyBattlePassDialog,Prefabs/Activity/BattlePass/BuyBattlePassBox,Prefabs/Activity/BattlePass/BuyBattlePassBoxChristmans,通行证购买界面弹框
BattlePassBannerBackground,Prefabs/Activity/BattlePass/BattlePassActivaceBannerInfoNormal,Prefabs/Activity/BattlePass/BattlePassActivaceBannerInfoChristmas,结算界面通行证banner背景
BattlePassBannerInEnergyDialog,Prefabs/Activity/BattlePass/BattlePassActivaceLifeBannerInfoNormall,Prefabs/Activity/BattlePass/BattlePassActivaceLifeBannerInfoChristmas,购买体力界面通行证banner背景
TreasureChainRewardIcon,Sprites/TreasureChain/MasterTreasuresPic,Sprites/TreasureChain/ChristmasMasterTreasuresPic,小通行证弹框顶部奖励图标
BattlePassIcon,Effect/BattlePassIcon,Effect/ChristmasBattlePassIcon,主页通行证活动Icon动画
HighGiftIcon,Sprites/MainUI/HighPricePackageIcon,Sprites/MainUI/ChristmasPack1,主页高价礼包Icon
LowGiftIcon,Sprites/MainUI/LowPricePackageIcon,Sprites/MainUI/ChristmasPack2,主页低价礼包Icon
HomeMasterTreasureIcon,Sprites/MainUI/HomeMasterTreasureIcon,Sprites/MainUI/ChristmasHomeMasterTreasureIcon,主页无尽宝藏Icon
HomeWiningStreakIcon,Sprites/MainUI/HomeWiningStreakIcon,Sprites/MainUI/ChristmasWinningStreak,主页连胜活动Icon
VictoriesActivityDialog,Prefabs/UI/Activity/Victories/VictoriesActivityDialog,Prefabs/Activity/Victories/VictoriesActivityDialogChristmas,连胜活动界面
VictoriesActivityStartNoticeDialog,Prefabs/UI/Activity/Victories/VictoriesActivityStartNoticeDialog,Prefabs/Activity/Victories/VictoriesActivityStartNoticeDialogChristmas,连胜活动预告界面
VictoriesActivityHelpDialog,Prefabs/UI/Activity/Victories/VictoriesActivityHelpDialog,Prefabs/Activity/Victories/VictoriesActivityHelpDialogChristmas,连胜活动帮助界面
StorePropGift1,Prefabs/UI/Store/StorePropGift1,Prefabs/Gift/HalloweenStorePropGift1,商店第一个礼包
StorePropGift2,Prefabs/UI/Store/StorePropGift2,Prefabs/Gift/HalloweenStorePropGift2,商店第二个礼包
StoreBattlePassPropGift,Prefabs/UI/StoreBattlePassPropGift,Prefabs/Gift/BattlePassPropGiftChriatmas,商店BattlePass礼包
StoreCardBoxItem1,Prefabs/CardSystem/StoreCardBoxItem1,Prefabs/CardSystem/StoreCardBoxItem1Christmas,商店第一个卡牌礼包
StoreCardBoxItem2,Prefabs/CardSystem/StoreCardBoxItem2,Prefabs/CardSystem/StoreCardBoxItem2Christmas,商店第二个卡牌礼包
StoreCardBoxItem3,Prefabs/CardSystem/StoreCardBoxItem3,Prefabs/CardSystem/StoreCardBoxItem3Christmas,商店第三个卡牌礼包
GoldBlockProgressBackground,Sprites/GoldBlock/CollectActivityBox,Sprites/GoldBlock/ChristmasTreasureChestBox,主页面黄金块底图
GoldBlockBox,Prefabs/GoldBlock/GoldBlockBox,Prefabs/GoldBlock/GoldBlockBoxChristmas,黄金块活动开始页面
ButtonSprite,Sprites/All/GreenBtn,Sprites/All/GreenBtn,按钮图片资源
PigBankDialog,Prefabs/UI/GoldPig/PigBankDialog,Prefabs/GoldPig/PigBankDialogChristmas,金猪页面
StarActivityIcon,Sprites/MainUI/League,Sprites/MainUI/ChristmasLeague,星星联赛Icon
CardBoxRewardAnimation,CardChest,CardChristmasChest,领取界面卡牌宝箱动画
StarActivityActivationBox,Prefabs/Activity/StarActivity/StarActivityActivationBox,Prefabs/Activity/StarActivity/StarActivityActivationBoxChristmas,星星联赛激活界面
StarActivityDialog,Prefabs/Activity/StarActivity/StarActivityDialog,Prefabs/Activity/StarActivity/StarActivityDialogChristmas,星星联赛排行界面
StarActivityEndingBox,Prefabs/Activity/StarActivity/StarActivityEndingBox,Prefabs/Activity/StarActivity/StarActivityEndingBoxChristmas,星星联赛结算界面
