#财富之路
#id,奖励阶段,奖励
%id,reward_stage,reward
$[id:unique][id:type:int],[reward_stage:type:int],[reward:type:Dictionary<int&int>]
1,1,11:1
2,1,12:1
3,1,0:5
4,1,0:10
5,1,0:5
6,1,10:1
7,2,11:1
8,2,10:1
9,2,12:1
10,2,0:10
11,2,0:5
12,2,0:5
13,2,0:10
14,2,0:10
15,2,0:5
16,2,0:5
17,3,11:1
18,3,10:1
19,3,12:1
20,3,0:15
21,3,0:10
22,3,0:10
23,4,11:1
24,4,10:1
25,4,12:1
26,4,0:20
27,4,0:15
28,4,0:15
29,4,0:20
30,4,0:20
31,4,0:15
32,4,0:15
33,-1,11:1
34,-1,10:1
35,-1,12:1
36,-1,0:25
37,-1,0:20
38,-1,0:20
39,-1,0:25
40,-1,0:25
41,-1,0:20
42,-1,0:20
