#造型表,,,,,
#id,造型ID,ICON组,角度,缩进,重组ID
%id,shape_id,item_sets,rotation,tighten,reshape
$[id:unique][id:type:int],[shape_id:type:int],[item_sets:type:List<class@FQDev.CubeMaster3D.GamePlay.Game.LevelCreator.ItemSet>],[rotation:type:class@ConfigFields.Vector3],[tighten:type:class@FQDev.CubeMaster3D.GamePlay.Index],[reshape:type:int]
1,1,14:04,,,0
2,3,10:05,,,0
3,4,10:7|13:1,,,0
4,5,10:12|13:3,,,0
5,15,10:16,,,0
6,2,10:06,,,0
7,9,10:18,,,0
8,8,10:15|13:3,,-1|-1|1,0
9,6,11:28,,,0
10,10,10:28|13:2,,-1|-1|2,0
11,11,11:18,,,0
12,12,10:15|13:3,,,0
13,17,11:27,,,0
14,14,10:25|13:5,,,0
15,20,11:41,,-1|-1|2,0
16,16,11:18,,,0
17,13,11:20,,,0
18,18,11:30,,,0
19,7,10:33|13:5,,,0
20,19,11:50,,-1|5|-1,0
21,305,17:44,,,0
22,244,17:44,,2|-1|0,0
23,208,17:45,,,0
24,257,17:45,,1|-1|1,0
25,241,17:45,,5|-1|0,0
26,301,17:48,,,0
27,210,17:49,,-1|1|-1,0
28,255,17:49,,5|4|0,0
29,219,17:50,,1|-1|1,0
30,201,17:53,,-1|1|-1,0
31,242,17:53,,-1|4|0,0
32,277,17:53,,1|-1|1,0
33,66,17:57,,-1|1|-1,0
34,243,17:45,,2|-1|2,0
35,223,17:58,,1|-1|1,0
36,244,17:45,,-1|1|-1,0
37,246,17:45,,-1|4|-1,0
38,243,17:45,,,0
39,246,17:45,,,0
40,252,17:45,,5|-1|5,0
41,252,17:45,,,0
42,241,17:45,,,0
43,259,17:45,,-1|5|3,0
44,259,17:45,,,0
45,303,17:45,,,0
46,239,17:45,,-1|8|3,1126
47,130,17:45,,,0
48,155,17:45,,,0
49,303,17:45,,-1|8|2,0
50,255,17:45,,,0
51,302,17:45,,,0
52,304,17:45,,-1|4|-1,0
53,239,17:45,,,0
54,307,17:48,,,0
55,242,17:45,,,0
56,308,17:56,,,0
57,157,17:45,,,0
58,19,17:45,,,0
59,95,17:45,,,0
60,156,17:45,,,0
61,201,17:45,,,0
62,208,17:45,,,0
63,210,17:45,,,0
64,147,17:45,,,0
65,219,17:45,,,0
66,223,17:45,0|50|0,,0
67,301,17:45,,,0
68,254,17:45,,,0
69,257,17:45,,,0
70,277,17:45,,,0
71,308,17:45,,,0
72,139,17:45,,,0
73,127,17:45,12|-164|2,,0
74,134,17:45,,-1|4|-1,0
75,307,17:45,,,0
76,159,17:45,,,0
77,66,17:45,,,0
78,71,17:45,-3|-25|2,,0
79,83,17:45,,,0
80,305,17:45,,,0
81,99,17:45,,,0
82,110,17:45,-1|-30|0,,0
83,162,17:45,6|-105|27,,0
84,201,17:45,,-1|8|-1,0
85,208,17:45,,3|0|3,0
86,210,17:45,,-1|-1|3,0
87,219,17:45,,-1|2|2,0
88,223,17:45,0|50|0,-1|4|5,0
89,301,17:45,,-1|1|-1,0
90,257,17:45,,1|5|1,0
91,277,17:45,,2|-1|3,0
92,308,17:45,,-1|1|-1,0
93,66,17:45,,-1|4|-1,0
94,305,17:45,,2|0|-1,0
95,99,17:45,,-1|4|-1,0
96,110,17:45,-1|-30|0,-1|4|-1,0
97,145,17:45,1|-161|0,,0
98,184,17:45,-11|-46|11,-1|1|-1,0
99,185,17:45,-1|-304|-4,-1|3|-1,0
100,186,17:45,-1|-667|-2,-1|3|-1,0
101,187,17:45,-5|-1030|-7,-1|3|-1,0
102,164,17:45,,,0
103,176,17:45,,,0
104,180,17:45,0|-738|0,-1|-1|0,0
105,181,17:45,,,0
106,151,17:45,,,0
107,147,17:45,,-1|0|-1,0
108,153,17:45,,,0
109,159,17:45,8|-858|7,,0
110,263,17:45,-11|-766|11,,0
111,269,17:45,0|-821|5,,0
112,272,17:45,13|-857|12,,0
113,281,17:45,,,0
114,283,17:45,-1|-802|7,,0
115,286,17:45,,,0
116,296,17:45,2|7|3,,0
117,297,17:45,,,0
118,262,17:45,15|-858|13,,0
119,209,17:45,,,0
120,162,17:45,,,0
121,172,17:45,-2|-773|2,,0
1003,3,11:18,,,0
1025,25,17:45,,,0
1040,40,17:45,,,0
1053,53,11:27,,,0
1054,54,17:45,,,0
1055,53,17:45,,,0
1058,58,17:45,,,0
1060,60,11:44,,,0
1064,64,10:33|13:5,,,0
1081,81,17:45,,,0
1082,82,17:45,,,0
1084,84,17:45,,,0
1087,87,17:45,,,0
1088,310,17:30,,,0
1089,311,15:7|13:1,,,0
1090,312,16:08,,,0
1091,310,16:12,,,0
122,95,11:22,,-1|4|-1,0
123,162,11:24,6|-105|27,-1|3|-1,0
124,305,11:22,,-1|-1|3,0
125,181,17:43,,,0
128,28,17:24,,,0
129,48,17:35,,,0
130,49,17:24,,,0
131,52,17:30,,,0
132,53,17:22,,,0
133,313,16:13,,,0
134,201,17:45,,,0
135,208,17:45,,,0
136,210,17:45,,,0
137,219,17:45,,,0
138,223,17:45,0|50|0,,0
139,301,17:45,,,0
140,257,17:45,,,0
141,277,17:45,,,0
142,308,17:45,,,0
143,66,17:45,,,0
144,305,17:45,,,0
145,99,17:45,,,0
146,110,17:45,-1|-30|0,,0
147,184,17:45,-11|-46|11,,0
148,185,17:45,-1|-304|-4,,0
149,186,17:45,-1|-667|-2,,0
150,187,17:45,-5|-1030|-7,,0
351,350,17:41,,,0
151,23,17:50,,,0
152,64,17:50,,,0
153,70,17:50,,,0
154,76,17:50,,,0
155,67,17:20,,,0
156,56,17:50,,,0
157,73,17:50,,,0
158,91,17:50,,,0
1078,78,17:50,,,0
159,65,17:50,,,0
160,77,17:50,,,0
161,183,17:50,,,0
162,192,17:50,,,0
163,196,17:50,,,0
164,198,17:50,,,0
165,199,17:50,,,0
166,145,17:50,,,0
167,67,17:50,,,0
168,86,17:50,,,0
1508,508,17:50,,,0
169,507,17:50,,,0
1172,172,17:50,,,0
170,52,17:50,,,0
171,59,17:50,,,0
172,51,17:50,,,0
173,75,17:50,,,0
174,142,17:50,,,0
175,126,17:50,,,0
176,122,17:50,,,0
177,134,17:50,,,0
178,148,17:50,,,0
1159,159,17:50,,,0
179,151,17:50,,,0
180,149,17:50,,,0
181,180,17:50,,,0
182,176,17:50,,,0
183,165,17:50,,,0
184,56,17:50,,,0
185,63,17:50,,,0
186,73,17:50,,,0
187,184,17:50,,,0
188,66,17:50,,,0
1072,72,17:50,,,0
189,79,17:50,,,0
1114,114,17:50,,,0
190,172,17:50,,,0
191,263,17:50,,,0
192,75,17:50,,,0
193,230,17:50,,,0
194,38,17:50,,,0
195,281,17:50,,,0
196,59,17:50,,,0
197,143,17:50,,,0
198,268,17:50,,,0
1118,118,17:50,,,0
199,270,17:50,,,0
1117,117,17:50,,,0
200,122,17:50,,,0
201,126,17:50,,,0
202,287,17:50,,,0
203,90,17:50,,,0
205,296,17:50,,,0
206,299,17:50,,,0
207,305,17:50,,,0
1030,30,17:50,,,0
209,92,17:50,,,0
1126,126,17:50,,,0
210,79,17:50,,,0
211,118,17:50,,,0
212,85,17:50,,,0
213,83,17:50,,,0
214,164,17:50,,,0
215,143,17:50,,,0
216,95,17:50,,,0
217,99,17:50,,,0
218,115,17:50,,,0
1070,70,17:50,,,0
219,157,17:50,,,0
220,159,17:50,,,0
221,164,17:50,,,0
222,40,17:50,,,0
223,262,17:50,,,0
224,58,17:50,,,0
225,176,17:50,,,0
226,232,17:50,,,0
227,59,17:50,,,0
228,122,17:50,,,0
1139,139,17:50,,,0
229,140,17:50,,,0
1043,43,17:50,,,0
230,234,17:50,,,0
231,123,17:50,,,0
232,179,17:50,,,0
233,167,17:50,,,0
234,111,17:50,,,0
235,130,17:50,,,0
236,131,17:30,,,0
237,98,17:30,,,0
238,103,17:30,,,0
239,107,17:30,,,0
240,115,17:30,,,1088
241,96,17:30,,,1087
242,107,17:30,,,1172
243,117,17:30,,,0
244,73,17:30,,,0
245,25,17:30,,,0
246,48,17:30,,,0
247,28,17:30,,,0
248,52,17:30,,,0
249,82,17:30,,,0
250,63,17:30,,,0
251,185,17:30,,,1089
252,208,17:30,,,1084
253,217,17:30,,,1072
254,71,17:30,,,0
255,118,17:30,,,0
256,204,17:30,,,0
257,118,17:30,,,0
258,50,17:30,,,0
259,59,17:30,,,0
260,87,17:30,,,0
261,73,17:30,,,0
262,234,17:30,,,1028
1028,28,17:30,,,0
263,254,17:30,,,1029
1029,29,17:30,,,0
264,268,17:30,,,1018
265,145,17:30,,,0
266,184,17:30,,,0
267,521,17:30,,,0
