#短期通行证奖池,,,,,,,
#id,等级,套装,升级条件,基础奖励(id:数量),基础奖励宝箱,消费奖励,消费奖励宝箱
%id,level,set,condition,free_reward,free_box,cost_reward,cost_box
$[id:unique][id:type:int],[level:type:int],[set:type:int],[condition:type:int],[free_reward:type:Dictionary<int&int>],[free_box:type:string],[cost_reward:type:Dictionary<int&int>],[cost_box:type:string]
0,0,0,0,10:01,,,
1,1,0,1,0:15,,11:1,
2,2,0,2,11:1,,0:50,
3,3,0,3,0:15,,10:01,
4,4,0,3,0:10,,13:01,
5,5,0,4,0:15|11:1,yellow,11:1|10:2,blue
6,6,0,2,0:15,,0:100,
7,7,0,3,13:01,,10:1,
8,8,0,3,0:15,,0:100,
9,9,0,4,21:15,,11:1,
10,10,0,4,10:1|11:1,yellow,0:100|13:2,yellow2
11,11,0,3,13:01,,0:100,
12,12,0,4,0:15,,11:1,
13,13,0,4,10:01,,0:100,
14,14,0,5,0:15,,10:01,
15,15,0,5,11:1|21:15,yellow,0:200|13:2|10:2,red
16,16,0,3,0:15,,11:1,
17,17,0,4,13:01,,0:200,
18,18,0,4,10:01,,10:01,
19,19,0,5,0:15,,0:200,
20,20,0,5,0:15|21:15,yellow,0:300|13:2|10:2,blue2
21,21,0,3,0:15,,11:1,
22,22,0,4,10:01,,0:300,
23,23,0,4,0:15,,10:1,
24,24,0,5,21:15,,0:300,
25,25,0,5,13:1|11:1,yellow,0:400|10:2|13:2|11:2,purple
26,26,0,5,0:200,,0:500|10:2|13:2|11:2,purple
27,0,1,0,10:01,,,
28,1,1,1,0:15,,11:1,
29,2,1,2,11:1,,0:50,
30,3,1,3,0:15,,10:01,
31,4,1,3,0:10,,13:01,
32,5,1,4,0:15|13:1,yellow,11:1|10:2,blue
33,6,1,2,0:15,,0:100,
34,7,1,3,11:01,,10:1,
35,8,1,3,0:15,,0:100,
36,9,1,4,21:15,,11:1,
37,10,1,4,10:1|13:1,yellow,0:100|13:2,yellow2
38,11,1,3,11:01,,0:100,
39,12,1,4,0:15,,11:1,
40,13,1,4,10:01,,0:100,
41,14,1,5,0:15,,10:01,
42,15,1,5,13:1|21:15,yellow,0:200|13:2|10:2,red
43,16,1,3,0:15,,11:1,
44,17,1,4,11:01,,0:200,
45,18,1,4,10:01,,10:01,
46,19,1,5,0:15,,0:200,
47,20,1,5,0:15|21:15,yellow,0:300|13:2|10:2,blue2
48,21,1,3,0:15,,11:1,
49,22,1,4,13:01,,0:300,
50,23,1,4,0:15,,10:1,
51,24,1,5,21:15,,0:300,
52,25,1,5,10:1|11:1,yellow,0:400|10:2|13:2|11:2,purple
53,26,1,5,0:200,,0:500|10:2|13:2|11:2,purple
54,0,2,0,10:01,,,
55,1,2,1,0:15,,11:1,
56,2,2,2,13:1,,0:50,
57,3,2,3,0:15,,10:01,
58,4,2,3,0:10,,13:01,
59,5,2,4,0:15|11:1,yellow,11:1|10:2,blue
60,6,2,2,0:15,,0:100,
61,7,2,3,13:01,,10:1,
62,8,2,3,0:15,,0:100,
63,9,2,4,21:15,,11:1,
64,10,2,4,10:1|11:1,yellow,0:100|13:2,yellow2
65,11,2,3,13:01,,0:100,
66,12,2,4,0:15,,11:1,
67,13,2,4,10:01,,0:100,
68,14,2,5,0:15,,10:01,
69,15,2,5,11:1|21:15,yellow,0:200|13:2|10:2,red
70,16,2,3,0:15,,11:1,
71,17,2,4,13:01,,0:200,
72,18,2,4,10:01,,10:01,
73,19,2,5,0:15,,0:200,
74,20,2,5,0:15|21:15,yellow,0:300|13:2|10:2,blue2
75,21,2,3,0:15,,11:1,
76,22,2,4,10:01,,0:300,
77,23,2,4,0:15,,10:1,
78,24,2,5,21:15,,0:300,
79,25,2,5,13:1|11:1,yellow,0:400|10:2|13:2|11:2,purple
80,26,2,5,0:200,,0:500|10:2|13:2|11:2,purple
81,0,3,0,10:01,,,
82,1,3,1,0:15,,11:1,
83,2,3,2,11:1,,0:50,
84,3,3,3,0:15,,10:01,
85,4,3,3,0:10,,13:01,
86,5,3,4,0:15|11:1,yellow,11:1|10:2,blue
87,6,3,2,0:15,,0:100,
88,7,3,3,13:01,,10:1,
89,8,3,3,0:15,,0:100,
90,9,3,4,21:15,,11:1,
91,10,3,4,10:1|11:1,yellow,0:100|13:2,yellow2
92,11,3,3,13:01,,0:100,
93,12,3,4,0:15,,11:1,
94,13,3,4,10:01,,0:100,
95,14,3,5,0:15,,10:01,
96,15,3,5,11:1|21:15,yellow,0:200|13:2|10:2,red
97,16,3,3,0:15,,11:1,
98,17,3,4,13:01,,0:200,
99,18,3,4,10:01,,10:01,
100,19,3,5,0:15,,0:200,
101,20,3,5,0:15|21:15,yellow,0:300|13:2|10:2,blue2
102,21,3,3,0:15,,11:1,
103,22,3,4,10:01,,0:300,
104,23,3,4,0:15,,10:1,
105,24,3,5,21:15,,0:300,
106,25,3,5,13:1|11:1,yellow,0:400|10:2|13:2|11:2,purple
107,26,3,5,0:200,,0:500|10:2|13:2|11:2,purple
108,0,4,0,10:01,,,
109,1,4,1,0:15,,11:1,
110,2,4,2,11:1,,0:50,
111,3,4,3,0:15,,10:01,
112,4,4,3,0:10,,13:01,
113,5,4,4,0:15|13:1,yellow,11:1|10:2,blue
114,6,4,2,0:15,,0:100,
115,7,4,3,11:01,,10:1,
116,8,4,3,0:15,,0:100,
117,9,4,4,21:15,,11:1,
118,10,4,4,10:1|13:1,yellow,0:100|13:2,yellow2
119,11,4,3,11:01,,0:100,
120,12,4,4,0:15,,11:1,
121,13,4,4,10:01,,0:100,
122,14,4,5,0:15,,10:01,
123,15,4,5,13:1|21:15,yellow,0:200|13:2|10:2,red
124,16,4,3,0:15,,11:1,
125,17,4,4,11:01,,0:200,
126,18,4,4,10:01,,10:01,
127,19,4,5,0:15,,0:200,
128,20,4,5,0:15|21:15,yellow,0:300|13:2|10:2,blue2
129,21,4,3,0:15,,11:1,
130,22,4,4,13:01,,0:300,
131,23,4,4,0:15,,10:1,
132,24,4,5,21:15,,0:300,
133,25,4,5,10:1|11:1,yellow,0:400|10:2|13:2|11:2,purple
134,26,4,5,0:200,,0:500|10:2|13:2|11:2,purple
135,0,5,0,10:01,,,
136,1,5,1,0:15,,11:1,
137,2,5,2,13:1,,0:50,
138,3,5,3,0:15,,10:01,
139,4,5,3,0:10,,13:01,
140,5,5,4,0:15|11:1,yellow,11:1|10:2,blue
141,6,5,2,0:15,,0:100,
142,7,5,3,13:01,,10:1,
143,8,5,3,0:15,,0:100,
144,9,5,4,21:15,,11:1,
145,10,5,4,10:1|11:1,yellow,0:100|13:2,yellow2
146,11,5,3,13:01,,0:100,
147,12,5,4,0:15,,11:1,
148,13,5,4,10:01,,0:100,
149,14,5,5,0:15,,10:01,
150,15,5,5,11:1|21:15,yellow,0:200|13:2|10:2,red
151,16,5,3,0:15,,11:1,
152,17,5,4,13:01,,0:200,
153,18,5,4,10:01,,10:01,
154,19,5,5,0:15,,0:200,
155,20,5,5,0:15|21:15,yellow,0:300|13:2|10:2,blue2
156,21,5,3,0:15,,11:1,
157,22,5,4,10:01,,0:300,
158,23,5,4,0:15,,10:1,
159,24,5,5,21:15,,0:300,
160,25,5,5,13:1|11:1,yellow,0:400|10:2|13:2|11:2,purple
161,26,5,5,0:200,,0:500|10:2|13:2|11:2,purple
162,0,6,0,10:01,,,
163,1,6,1,0:15,,11:1,
164,2,6,2,13:1,,0:50,
165,3,6,3,0:15,,10:01,
166,4,6,3,0:10,,13:01,
167,5,6,4,0:15|11:1,yellow,11:1|10:2,blue
168,6,6,2,0:15,,0:100,
169,7,6,3,13:01,,10:1,
170,8,6,3,0:15,,0:100,
171,9,6,4,21:15,,11:1,
172,10,6,4,10:1|11:1,yellow,0:100|13:2,yellow2
173,11,6,3,13:01,,0:100,
174,12,6,4,0:15,,11:1,
175,13,6,4,10:01,,0:100,
176,14,6,5,0:15,,10:01,
177,15,6,5,11:1|21:15,yellow,0:200|13:2|10:2,red
178,16,6,3,0:15,,11:1,
179,17,6,4,13:01,,0:200,
180,18,6,4,10:01,,10:01,
181,19,6,5,0:15,,0:200,
182,20,6,5,0:15|21:15,yellow,0:300|13:2|10:2,blue2
183,21,6,3,0:15,,11:1,
184,22,6,4,10:01,,0:300,
185,23,6,4,0:15,,10:1,
186,24,6,5,21:15,,0:300,
187,25,6,5,13:1|11:1,yellow,0:400|10:2|13:2|11:2,purple
188,26,6,5,0:200,,0:500|10:2|13:2|11:2,purple
