#内购项目表
#id,谷歌产品id,苹果产品id,产品类型(Consumable = 0|消耗型 NonConsumable = 1 非消耗型|Subscription = 2 订阅),美元
%id,apple_productId,apple_productId,product_type,us_dollor
$[id:unique][id:type:int],[apple_productId:type:string],[apple_productId:type:string],[product_type:type:int],[us_dollor:type:float]
1,com.hexamaster3d.google.big_bundle,com.hexamaster3d.apple.big_bundle,0,6.99
2,com.hexamaster3d.google.super_bundle,com.hexamaster3d.apple.super_bundle,0,12.99
3,com.hexamaster3d.google.huge_bundle,com.hexamaster3d.apple.huge_bundle,0,24.99
4,com.hexamaster3d.google.mega_bundle,com.hexamaster3d.apple.mega_bundle,0,49.99
5,com.hexamaster3d.google.brillant_bundle,com.hexamaster3d.apple.brillant_bundle,0,99.99
6,com.hexamaster3d.google.remove_ads,com.hexamaster3d.apple.remove_ads,1,7.99
7,com.hexamaster3d.google.remove_ads_pack,com.hexamaster3d.apple.remove_ads_pack,1,9.99
8,com.hexamaster3d.google.fistful_of_golds,com.hexamaster3d.apple.fistful_of_golds,0,1.99
9,com.hexamaster3d.google.pouch_of_golds,com.hexamaster3d.apple.pouch_of_golds,0,4.99
10,com.hexamaster3d.google.bucket_of_golds,com.hexamaster3d.apple.bucket_of_golds,0,9.99
11,com.hexamaster3d.google.barrel_of_golds,com.hexamaster3d.apple.barrel_of_golds,0,19.99
12,com.hexamaster3d.google.wagon_of_golds,com.hexamaster3d.apple.wagon_of_golds,0,39.99
13,com.hexamaster3d.google.chest_of_golds,com.hexamaster3d.apple.chest_of_golds,0,69.99
14,com.hexamaster3d.google.life_extra_package,com.hexamaster3d.apple.life_extra_package,0,9.99
15,com.hexamaster3d.google.life_standard_package,com.hexamaster3d.apple.life_standard_package,0,2.99
16,com.hexamaster3d.google.life_supplementary_package,com.hexamaster3d.apple.life_supplementary_package,0,5.99
17,com.hexamaster3d.google.hammers_extra_package,com.hexamaster3d.apple.hammers_extra_package,0,9.99
18,com.hexamaster3d.google.hammers_standard_package,com.hexamaster3d.apple.hammers_standard_package,0,2.99
19,com.hexamaster3d.google.hammers_supplementary_package,com.hexamaster3d.apple.hammers_supplementary_package,0,5.99
20,com.hexamaster3d.google.drag_extra_package,com.hexamaster3d.apple.drag_extra_package,0,9.99
21,com.hexamaster3d.google.drag_standard_package,com.hexamaster3d.apple.drag_standard_package,0,2.99
22,com.hexamaster3d.google.drag_supplementary_package,com.hexamaster3d.apple.drag_supplementary_package,0,5.99
23,com.hexamaster3d.google.refresh_extra_package,com.hexamaster3d.apple.refresh_extra_package,0,9.99
24,com.hexamaster3d.google.refresh_standard_package,com.hexamaster3d.apple.refresh_standard_package,0,2.99
25,com.hexamaster3d.google.refresh_supplementary_package,com.hexamaster3d.apple.refresh_supplementary_package,0,5.99
26,com.hexamaster3d.google.gold_pig,com.hexamaster3d.apple.gold_pig,0,4.99
27,com.hexamaster3d.google.novice_special_pack,com.hexamaster3d.apple.novice_special_pack,0,2.99
28,com.hexamaster3d.google.newbie_hammers_pack,com.hexamaster3d.apple.newbie_hammers_pack,0,2.99
29,com.hexamaster3d.google.promo_hammers_pack,com.hexamaster3d.apple.promo_hammers_pack,0,6.99
30,com.hexamaster3d.google.deluxe_hammers_pack,com.hexamaster3d.apple.deluxe_hammers_pack,0,12.99
31,com.hexamaster3d.google.newbie_drag_pack,com.hexamaster3d.apple.newbie_drag_pack,0,2.99
32,com.hexamaster3d.google.promo_drag_pack,com.hexamaster3d.apple.promo_drag_pack,0,6.99
33,com.hexamaster3d.google.deluxe_drag_pack,com.hexamaster3d.apple.deluxe_drag_pack,0,12.99
34,com.hexamaster3d.google.promo_health_pack,com.hexamaster3d.apple.promo_health_pack,0,2.99
35,com.hexamaster3d.google.deluxe_health_pack,com.hexamaster3d.apple.deluxe_health_pack,0,6.99
36,com.hexamaster3d.google.super_value_health_pack,com.hexamaster3d.apple.super_value_health_pack,0,12.99
37,com.hexamaster3d.google.newbie_refresh_pack,com.hexamaster3d.apple.newbie_refresh_pack,0,2.99
38,com.hexamaster3d.google.promo_refresh_pack,com.hexamaster3d.apple.promo_refresh_pack,0,6.99
39,com.hexamaster3d.google.deluxe_refresh_pack,com.hexamaster3d.apple.deluxe_refresh_pack,0,12.99
40,com.hexamaster3d.google.newbie_gold_pack,com.hexamaster3d.apple.newbie_gold_pack,0,2.99
41,com.hexamaster3d.google.super_valu_gold_pack,com.hexamaster3d.apple.super_valu_gold_pack,0,6.99
42,com.hexamaster3d.google.promo_gold_pack,com.hexamaster3d.apple.promo_gold_pack,0,12.99
43,com.hexamaster3d.google.never_give_up_special_pack,com.hexamaster3d.apple.never_give_up_special_pack,0,12.99
44,com.hexamaster3d.google.never_giveu_up,com.hexamaster3d.apple.never_giveu_up,0,24.99
45,com.hexamaster3d.google.super_game_pack,com.hexamaster3d.apple.super_game_pack,0,4.99
46,com.hexamaster3d.google.challenge_special_pack,com.hexamaster3d.apple.challenge_special_pack,0,6.99
47,com.hexamaster3d.google.taurus_special_pack,com.hexamaster3d.apple.taurus_special_pack,0,6.99
48,com.hexamaster3d.google.moon_pack,com.hexamaster3d.apple.moon_pack,0,6.99
49,com.hexamaster3d.google.crazy_game_pack,com.hexamaster3d.apple.crazy_game_pack,0,6.99
50,com.hexamaster3d.google.sun_pack,com.hexamaster3d.apple.sun_pack,0,9.99
51,com.hexamaster3d.google.super_star_pack,com.hexamaster3d.apple.super_star_pack,0,9.99
